name,classification,GBS-A_Feb2024,GBS-A_Jun2024,GBS-A_Mar2013,GBS-B_Feb2024,GBS-B_Jun2024,GBS-C_Feb2024,GBS-C_Jun2024,GBS-C_Mar2013,GBS-E_Mar2013,GBS-W_Jun2024,Abundance
GBS70_3300020139_26,d__Bacteria;p__Armatimonadota;c__Fimbriimonadia;o__Fimbriimonadales;f__GBS-DC;g__GBS-DC;s__,0,1.2,20.6,0,0.1,3.7,25.1,0,26.1,1.3,78
GBS-60_Mar13_bin.041,d__Bacteria;p__Bacteroidota_A;c__Ignavibacteria;o__Ch128b;f__Ch128b;g__Ch128b;s__,0,0,0,0,0,0,0,0,34.6,1.3,35.9
GBS-B_Feb24_bin.041,d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermofilales;f__Thermofilaceae;g__JANXEW01;s__,23,2.4,0.4,3,0.6,8.5,0.3,0.1,0,1.3,39.5
Thermofilum_C sp020833575,d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermofilales;f__Thermofilaceae;g__Thermofilum_C;s__Thermofilum_C sp020833575,0.8,0.1,0,0.2,0,0.1,0,0,0,1.3,2.5
GBS-A_Jun24_bin.061,d__Bacteria;p__Armatimonadota;c__Fimbriimonadia;o__Fimbriimonadales;f__GBS-DC;g__GBS-DC;s__,0,2.2,18.1,0,0.1,3.9,31.3,0,25.5,1.2,82.4
Thermus islandicus,d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Thermaceae;g__Thermus;s__Thermus islandicus,0,0.3,0.2,0,0,0.3,0.8,0,0.4,1.2,3.2
Anoxybacillus ayderensis,d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Anoxybacillaceae;g__Anoxybacillus;s__Anoxybacillus ayderensis,0,0,0,0,0,0,0,0,0,1.2,1.2
GBS85_3300020145_11,d__Bacteria;p__WOR-3;c__Hydrothermia;o__LBFQ01;f__LBFQ01;g__Caldipriscus;s__,18.8,31.6,2.7,61,84,5.6,4.7,102.8,0.4,1.2,312.8
GBS-DC sp023511915,d__Bacteria;p__Armatimonadota;c__Fimbriimonadia;o__Fimbriimonadales;f__GBS-DC;g__GBS-DC;s__GBS-DC sp023511915,0,0.1,1.9,0,0,0.5,2.7,0,50.3,1.2,56.8
GBS-W_Jun24_bin.033,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__CAIOSU01;g__;s__,0,0,0,0,0,0,0,0,0,1.1,1.2
Thermus sp001311585,d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Thermaceae;g__Thermus;s__Thermus sp001311585,0,0.3,0.2,0,0,0.3,0.7,0,0.4,1.1,3
GBS-A_Feb24_unaligned_bin.001,d__Archaea;p__Thermoproteota;c__Methanomethylicia;o__Nezhaarchaeales;f__WYZ-LMO8;g__WYZ-LMO8;s__,132.3,1.2,0,3.5,0.2,2.4,0,0,0,1.1,140.8
Pyrobaculum neutrophilum,d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermoproteales;f__Thermoproteaceae;g__Pyrobaculum;s__Pyrobaculum neutrophilum,0.1,0,0,0.1,0.1,0,0,0,0,1.1,1.4
GBS-C_Feb24_bin.032,d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__WYZ-LMO2;s__,0.2,0.1,0.1,0.1,0.1,2.2,0,0,0,1.1,3.7
Pyrobaculum sp038879095,d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermoproteales;f__Thermoproteaceae;g__Pyrobaculum;s__Pyrobaculum sp038879095,0.1,0,0,0.1,0.1,0,0,0,0,1,1.3
GBS-60_Mar13_unaligned_bin.004,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Thermostichales;f__Thermostichaceae;g__Thermostichus;s__,0,0,0,0,0,0.1,0.1,0,70.5,1,71.8
